"”N05 Crescent City”,"
"”N09 Other Del Norte”,"
"”N12 Patrick's Point”,"
"”N14 Trinidad”,"
"”N16 Punta Gorda”,"
"”N18 Shelter Cove”,"
"”N19 Other Humboldt County”,"
"”N20 Bear Harbor”,"
"”N21 Usal”,"
"”N22 Hardy Creek”,"
"”N24 Abalone Point”,"
"”N25 Westport”,"
"”N26 Bruhel Point”,"
"”N29 MacKerricher SP”,"
"”N30 Glass Beach”,"
"”N31 Georgia Pacific Mill”,"
"”N32 Todd's Point”,"
"”N33 Hare Creek”,"
"”N34 Mitchell Creek”,"
"”N35 Jughandle SR”,"
"”N36 Caspar Cove”,"
"”N38 Russian Gulch”,"
"”N39 Jack Peters Gulch”,"
"”N40 Mendocino Headlands”,"
"”N41 Gordon Lane Spring Ranch”,"
"”N42 Van Damme SP”,"
"”N44 Dark Gulch”,"
"”N45 Albion Cove”,"
"”N46 Salmon Creek”,"
"”N47 Navarro River”,"
"”N49 Elk”,"
"”N50 Point Arena Lighthouse”,"
"”N51 Point Arena (Arena Cove)”,"
"”N52 Moat Creek”,"
"”N53 Schooner Gulch”,"
"”N56 Anchor Bay”,"
"”N58 Robinson Point”,"
"”S60 Gualala Point”,"
"”S62 Sea Ranch”,"
"”S64 Black Point”,"
"”S66 Stewarts Point”,"
"”S68 Rocky Point”,"
"”S72 South Fisk Mill Cove”,"
"”S74 Salt Point SP”,"
"”S76 Ocean Cove”,"
"”S78 Stillwater Cove”,"
"”S80 Timber Cove”,"
"”S82 Fort Ross (Northwest Cape)”,"
"”S86 Jenner”,"
"”S88 Bodega Head”,"
"”S93 Tomales Bay”,"
"”S96 Point Reyes”,"
"”S99 Other Marin County”,"
